NAMEsource	NAMEtarget	value	IDsource	IDtarget
C4-408 Post-2 GLU-1 ADGRL4 IL1RAPL2	C286-106: Vip.Vipr2.GABA-2	0.0363825363825364	0	30
C4-411 Post-2 GLU-1 SALL3 PVALB	C286-112: Nms.Fam122b.Vipr2.GABA-2	0.0866250866250866	1	31
NA_hs	C286-114: Prr5l.Cck.Vipr2.GABA-2	8.66250866250866e-05	2	32
C4-70 Mid-1 GABA-2 LGR5 SEMA3D	C286-122: Arx.Lhx1.GABA-2	0.0379417879417879	3	33
C4-166 Mid-1 GABA-7 TRABD2B	C286-139: Myo5b.Sox14.Lef1.GABA-1	0.0374220374220374	4	34
C4-382 Mid-2 GABA-GLU-3 LEF1 IL1RAPL2	C286-141: Barhl2.Lef1.GABA-1	0.0188842688842689	5	35
C4-162 Mid-1 GABA-7 KCNH8 GAL	C286-142: Reln.Lef1.GABA-1	0.0425329175329175	6	36
C4-398 Mid-2 GLU-4 WNT7B HMCN1	C286-150: Dlx6os1.Ppp1r17.GABA-1	0.0192307692307692	7	37
C4-377 Mid-2 GABA-GLU-3 PDGFD ALDH1A1	C286-158: Vgll3.Tbx3.GABA-1	0.0362959112959113	8	38
NA_hs	C286-160: Pou6f2.Sytl4.Tbx3.GABA-1	8.66250866250866e-05	2	39
C4-130 Mid-1 GABA-5 TRPC4 NPSR1	C286-169: Gpr50.Nts.GABA-1	0.0265072765072765	9	40
C4-146 Mid-1 GABA-5 FOXD2 ROR1	C286-174: Trh.Nkx2-4.GABA-3	0.0401074151074151	10	41
C4-160 Mid-1 GABA-6 IL13RA1 GHRH	C286-175: Ghrh.GABA-3	0.0239085239085239	11	42
C4-355 Mid-2 GABA-GLU-1 RGS22 AGRP	C286-176: Serpina3n.Npy.Agrp.GABA-4	0.0323111573111573	12	43
C4-355 Mid-2 GABA-GLU-1 RGS22 AGRP	C286-177: Acvr1c.Npy.Agrp.GABA-4	0.0323111573111573	12	44
C4-357 Mid-2 GABA-GLU-1 RGS22 NPY	C286-179: Ptprk.Npy.Sst.GABA-4	0.0171517671517672	13	45
C4-359 Mid-2 GABA-GLU-1 RGS22 NDNF	C286-181: Il1rapl2.Otp.Sst.GABA-4	0.0288461538461538	14	46
C4-63 Mid-1 GABA-1 BRS3	C286-195: Slc6a3.Satb2.GABA-6	0.0327442827442827	15	47
C4-64 Mid-1 GABA-1 NR5A2	C286-196: Nr5a2.Satb2.GABA-6	0.00900900900900901	16	48
C4-337 Mid-2 GLU-2 CALB1 SATB2	C286-30: Gpr149.Unassigned.Fezf1.GLU-3	0.0185377685377685	17	49
C4-336 Mid-2 GLU-2 CALB1 IQGAP2	C286-35: Sox14.Unassigned.Fezf1.GLU-3	0.0226957726957727	18	50
C4-345 Mid-2 GLU-2 ARHGAP42 COL15A1	C286-45: Rai14.Hmcn2.Gpr149.GLU-3	0.0813409563409563	19	51
NA_hs	C286-52: H2-Q2.Hmcn2.Gpr149.GLU-3	8.66250866250866e-05	2	52
C4-340 Mid-2 GLU-2 MEGF10 IGFBP7	C286-62: Nfia.Tcf4.GLU-3	0.0309251559251559	20	53
C4-321 Mid-2 GLU-1 ITGA2 LEF1	C286-66: Ntng2.Lef1.Mixed.GLU-4	0.0426195426195426	21	54
C4-324 Mid-2 GLU-1 ITGA2 ONECUT3	C286-70: Cped1.Mixed.GLU-4	0.033957033957034	22	55
C4-326 Mid-2 GLU-1 SOX14 ADCYAP1	C286-71: Lpar1.GLU-4	0.0337837837837838	23	56
C4-331 Mid-2 GLU-1 LHX9 HCRT	C286-73: Qrfp.Rfx4.GLU-4	0.0368156618156618	24	57
C4-373 Mid-2 GABA-GLU-3 POMC PRDM12	C286-75: Anxa2.Pomc.GLU-5	0.0361226611226611	25	58
C4-388 Mid-2 GABA-GLU-3 PGR CALCR	C286-76: Glipr1.Pomc.GLU-5	0.0123873873873874	26	59
C4-387 Mid-2 GABA-GLU-3 PGR TRPC6	C286-78: Tac2.GLU-5	0.0383749133749134	27	60
C4-304 Mid-3 GLU-3 CD36 EBF1	C286-80: Gpc3.Bace2.GLU-5	0.0233887733887734	28	61
C4-370 Mid-2 GLU-3 PDZRN4 PMCH	C286-84: Pmch.GLU-7	0.0305786555786556	29	62
C286-106: Vip.Vipr2.GABA-2	Rgs16/Vip	0.00674005841383959	30	63
C286-112: Nms.Fam122b.Vipr2.GABA-2	Rgs16/Vip	0.00966075039317007	31	63
C286-114: Prr5l.Cck.Vipr2.GABA-2	Rgs16/Vip	0.010334756234554	32	63
C286-122: Arx.Lhx1.GABA-2	unassigned(2)	0.00741406425522355	33	64
C286-139: Myo5b.Sox14.Lef1.GABA-1	Th/Lef1	0.0233655358346439	34	65
C286-141: Barhl2.Lef1.GABA-1	Gm8773/Tac1	0.0125814423725006	35	66
C286-142: Reln.Lef1.GABA-1	unassigned(2)	0.0076387328690182	36	64
C286-150: Dlx6os1.Ppp1r17.GABA-1	Rgs16/Dlx1	0.0107840934621433	37	67
C286-158: Vgll3.Tbx3.GABA-1	Htr3b	0.0703212761177264	38	68
C286-160: Pou6f2.Sytl4.Tbx3.GABA-1	Tmem215	0.00831273871040216	39	69
C286-169: Gpr50.Nts.GABA-1	Gpr50	0.00741406425522355	40	70
C286-174: Trh.Nkx2-4.GABA-3	Th/Cxcl12	0.0422376993933947	41	71
C286-175: Ghrh.GABA-3	Ghrh	0.0811053695798697	42	72
C286-176: Serpina3n.Npy.Agrp.GABA-4	Agrp/Gm8773	0.162884745001123	43	73
C286-177: Acvr1c.Npy.Agrp.GABA-4	Agrp/Gm8773	0.0948101550213435	44	73
C286-179: Ptprk.Npy.Sst.GABA-4	Sst/Nts	0.00876207593799146	45	74
C286-181: Il1rapl2.Otp.Sst.GABA-4	Agrp/Sst	0.011682767917322	46	75
C286-195: Slc6a3.Satb2.GABA-6	NA_campbell	0.0435857110761627	47	76
C286-196: Nr5a2.Satb2.GABA-6	NA_campbell	0.0451583913727252	48	76
C286-30: Gpr149.Unassigned.Fezf1.GLU-3	Nr5a1/Adcyap1	0.0155021343518311	49	77
C286-35: Sox14.Unassigned.Fezf1.GLU-3	Nr5a1/Adcyap1	0.00674005841383959	50	77
C286-45: Rai14.Hmcn2.Gpr149.GLU-3	Nr5a1/Adcyap1	0.010334756234554	51	77
C286-52: H2-Q2.Hmcn2.Gpr149.GLU-3	Nr5a1/Adcyap1	0.00921141316558077	52	77
C286-62: Nfia.Tcf4.GLU-3	Nr5a1/Adcyap1	0.0148281285104471	53	77
C286-66: Ntng2.Lef1.Mixed.GLU-4	Fam19a2	0.0114580993035273	54	78
C286-70: Cped1.Mixed.GLU-4	Fam19a2	0.00876207593799146	55	78
C286-71: Lpar1.GLU-4	unassigned(1)	0.00718939564142889	56	79
C286-73: Qrfp.Rfx4.GLU-4	Qrfp	0.0105594248483487	57	80
C286-75: Anxa2.Pomc.GLU-5	Pomc/Anxa2	0.0474050775106718	58	81
C286-76: Glipr1.Pomc.GLU-5	Pomc/Glipr1	0.0397663446416536	59	82
C286-78: Tac2.GLU-5	Kiss1/Tac2	0.100202201752415	60	83
C286-80: Gpc3.Bace2.GLU-5	Slc17a6/Trhr	0.0458323972141092	61	84
C286-84: Pmch.GLU-7	NA_campbell	0.00741406425522355	62	76
